%time,field.time_from_start,field.base.pose.position.x,field.base.pose.position.y,field.base.pose.position.z,field.base.pose.orientation.x,field.base.pose.orientation.y,field.base.pose.orientation.z,field.base.pose.orientation.w,field.base.twist.linear.x,field.base.twist.linear.y,field.base.twist.linear.z,field.base.twist.angular.x,field.base.twist.angular.y,field.base.twist.angular.z,field.base.accel.linear.x,field.base.accel.linear.y,field.base.accel.linear.z,field.base.accel.angular.x,field.base.accel.angular.y,field.base.accel.angular.z,field.ee_motion0.pos.x,field.ee_motion0.pos.y,field.ee_motion0.pos.z,field.ee_motion0.vel.x,field.ee_motion0.vel.y,field.ee_motion0.vel.z,field.ee_motion0.acc.x,field.ee_motion0.acc.y,field.ee_motion0.acc.z,field.ee_motion1.pos.x,field.ee_motion1.pos.y,field.ee_motion1.pos.z,field.ee_motion1.vel.x,field.ee_motion1.vel.y,field.ee_motion1.vel.z,field.ee_motion1.acc.x,field.ee_motion1.acc.y,field.ee_motion1.acc.z,field.ee_motion2.pos.x,field.ee_motion2.pos.y,field.ee_motion2.pos.z,field.ee_motion2.vel.x,field.ee_motion2.vel.y,field.ee_motion2.vel.z,field.ee_motion2.acc.x,field.ee_motion2.acc.y,field.ee_motion2.acc.z,field.ee_motion3.pos.x,field.ee_motion3.pos.y,field.ee_motion3.pos.z,field.ee_motion3.vel.x,field.ee_motion3.vel.y,field.ee_motion3.vel.z,field.ee_motion3.acc.x,field.ee_motion3.acc.y,field.ee_motion3.acc.z,field.ee_forces0.x,field.ee_forces0.y,field.ee_forces0.z,field.ee_forces1.x,field.ee_forces1.y,field.ee_forces1.z,field.ee_forces2.x,field.ee_forces2.y,field.ee_forces2.z,field.ee_forces3.x,field.ee_forces3.y,field.ee_forces3.z,field.ee_contact0,field.ee_contact1,field.ee_contact2,field.ee_contact3
100001000,100000000,0.023680615212927338,1.7868520640093848e-05,0.2599651565798883,-0.001415835599776103,0.0061218349477355286,-0.004004678188027638,0.9999722401642145,0.1698535424943748,0.03150495096649259,0.005422690273579445,-0.10633320667623321,-0.34113570128074044,0.38423204925088433,-7.414227427981407,1.2494769262756473,-29.762186336989796,-2.4537108956871823,-21.039160876014762,20.129006349577942,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.61443156994781,35.83689043682736,1.457385614268162,66.15142698528084,-0.9938224884878235,-16.68072215291849,-5.654626901474801,-215.54648524808977,-29.17876333523094,-120.6468002248682,183.82710961326177,-5.486740968910908,1,1,1,1
110001000,110000000,0.025030627917899693,0.0003872574499904268,0.25861626872457927,-0.002000962093033889,0.003925780382201817,-0.001633081749281272,0.9999889586605909,0.10236786363885939,0.04155939223660826,-0.26670080545314523,-0.12264766818643726,-0.5267340859174193,0.5579077856632061,-6.0829083439230045,0.7614113269218339,-24.66251280800379,-0.808744679351717,-16.07737492195343,14.608470558115528,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.89162475592963,33.303896988914126,20.459722020113475,66.56738296439967,-1.1613208584622285,-17.424064713713683,-7.960708443157813,-121.71721224157392,-5.649381301720041,-112.76533657236614,173.66855524566094,-1.045803431589846,1,1,1,1
120001000,120000000,0.025772349788479757,0.0008327875120329432,0.25480112958846995,-0.0026282222595852963,0.0009243894590360568,0.0014672640882508622,0.9999950425317005,0.048195375615914846,0.046733177504929266,-0.48782756588649606,-0.12264034456290232,-0.6625923134308189,0.6764757186287722,-4.751589260665907,0.2733457267423687,-19.562839278666388,0.7974280172358407,-11.0886433890537,9.109984358354781,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.70509781020559,28.76339071843985,37.95271871098578,66.17384684515233,-1.2957576744462234,-17.7848332226326,-7.2753558468047,36.50378653191209,88.2021246294502,-102.87206375279622,160.69690622811214,4.0271847759089,1,1,1,1
130001000,130000000,0.02603891273299323,0.001305652146749696,0.24902970652449394,-0.0032172391476220025,-0.002632560612382568,0.005021773507020705,0.9999787501680889,0.007336078425541306,0.04702630677145561,-0.6579575910264728,-0.1070515774288485,-0.7483823235846653,0.7402211072037922,-3.420270177408809,-0.21471987343709653,-14.463165749328985,2.2987524063288323,-6.062833657157879,3.6453603134409156,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58668498029104,21.9863032845837,52.623200292904244,65.04037873285122,-1.3963573387037878,-17.791940478442136,-5.597962641643461,126.53512758338702,137.9193793275935,-91.38978068828743,145.45934262390344,9.525492976554006,1,1,1,1
140001000,140000000,0.025963448659765822,0.0017570447941227401,0.24181196688558507,-0.0036928947177630694,-0.00649359118542442,0.008757272063576429,0.999933750799584,-0.0202100279322613,0.042438780036187326,-0.7770908808730758,-0.07714865409567688,-0.783721473471844,0.7495131206797918,-2.0889510941517093,-0.7027854736165626,-9.363492219991578,3.655984253710251,-0.9990454048967935,-1.7804333298452626,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.068220513701135,12.74356634652493,63.15799137188799,63.23653873280868,-1.4623442534989002,-17.474299279909285,-3.811926461889757,137.34640228463127,130.33626992550572,-78.741286300969,128.50304449632358,15.24239049331402,1,1,1,1
150001000,150000000,0.025679089477123242,0.0021381588941341277,0.233657878024677,-0.003987344421641494,-0.010405543219670995,0.012402265792976014,0.9998609951178049,-0.034442943457492936,0.03297059729912436,-0.8452274354263047,-0.03445465070090997,-0.7682602679953315,0.7047363671965959,-0.7576320108946097,-1.1908510737960283,-4.263818690654169,4.857326957089803,4.095404594839456,-7.169277199875469,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.681538657951194,0.8061115634427267,68.2439165539563,60.83188695033702,-1.4929428210955409,-16.860822425800944,-2.1455625602536896,100.0214298079623,89.52411302238357,-65.3493795129699,110.37519190866146,20.971146649157546,1,1,1,1
160001000,160000000,0.0253189670933912,0.002400187886765913,0.22507740729470355,-0.004040655015419716,-0.014114011115699009,0.015686905408456714,0.9997691677562268,-0.035362668150153515,0.018621758560266724,-0.8623672546861592,0.019529512593043717,-0.7017577166302073,0.6062224163984599,0.5736870723624898,-1.6789166739754942,0.8358548386832396,5.919114175573616,9.20637315608702,-12.529896927232125,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8349549693375866,-13.037363144754485,67.2656348659911,57.89598349074868,-1.487377443757686,-15.9804227148841,-0.8271861894453618,45.6440293256976,39.55422521742355,-51.63685924641953,91.62296492420569,26.50503076705317,1,1,1,1
170001000,170000000,0.025016213416895403,0.002494325212000147,0.2165805220485984,-0.003800042949005162,-0.017364120580687415,0.018342578377483817,0.9996737451831527,-0.02296920201024316,-0.0006077361803855513,-0.8285103386526398,0.08360916974805913,-0.5841426742186955,0.4541814050019467,1.9050061556195894,-2.1669822741549605,5.935528368020648,6.886324802188084,14.314229679152197,-17.877851013653157,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.648642815584754,-22.96792576687301,63.774947730994256,54.498388459355866,-1.4448725237493176,-14.86201294592566,-0.08511260217487493,5.298020010155369,4.49792310982275,-38.026524423446574,72.79354360624427,31.637312169969647,1,1,1,1
180001000,180000000,0.024903960355961575,0.002371764309818886,0.20867718963929532,-0.003217698949711908,-0.01990158411593509,0.020101065371833943,0.9995946781241197,0.002737454962238317,-0.0247178869228325,-0.743656687325746,0.15718354047111263,-0.4155639276557743,0.24863378008955625,3.236325238876689,-2.6550478743344263,11.035201897358057,7.832746211700952,19.39469090804097,-23.23551697233948,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21216481086939132,0.14990355081271461,0.0003012346631433708,0.2934398386652121,-0.03388697590198986,0.10553701882132965,49.43764453345786,-5.7091507203112055,17.615812222776725,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.116749880203866,-28.560825074531653,58.750512368162724,50.70866196147108,-1.3646524633344121,-13.534505917692623,0.0,0.0,0.0,-24.941173966180543,54.43410801806681,36.16126018087536,1,1,0,1
190001000,190000000,0.02511533981891541,0.0019836986202041804,0.20187737741972803,-0.0022471994513166,-0.02147399200770615,0.02069322167796804,0.9995527041324361,0.04175730276729073,-0.05370869366707415,-0.6078063007054784,0.24053255107285168,-0.19643639641718616,-0.010657855033856805,4.567644322133789,-3.143113474513892,16.134875426695466,8.860622320519582,24.4186857504302,-28.632086657756055,0.213,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20694587846270224,0.14930085883601923,0.0021601803834354243,0.7316118220090094,-0.08448788760307521,0.2585306173310726,38.19675213530151,-4.411031619905854,12.982907479171832,-0.213,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.84697690736458,-30.458626992453816,52.5206333778329,46.59636410240651,-1.2459416647769483,-12.02681442895188,0.0,0.0,0.0,-12.803606796749932,37.09183822296086,39.87014412273916,1,1,0,1
